資訊清單建立者	17807
日期	06-Jul-2026 22:46:30
目前工作零件	D:\OH-WorkSpace\GGV_LTS_SensitivityAnsysis_V4.0\chengdu endurance track4.0_dwg.prt
節點名	queenzzzworkbook


曲線的曲率分析
------------------------------------------------------------
分析曲線 #               1
檢查點的個數 =             6250
投影平面 = 無
  參數      XC          YC          ZC      曲率      力矩
  0.034085  -320.588494  -369.728169    0.000000  6.065798e-02  0.000000e+00
  0.034245  -320.595724  -369.871039    0.000000  6.120755e-02  0.000000e+00
  0.034406  -320.604202  -370.013816    0.000000  6.172668e-02  0.000000e+00
  0.034566  -320.613940  -370.156491    0.000000  6.221598e-02  0.000000e+00
  0.034726  -320.624944  -370.299053    0.000000  6.267611e-02  0.000000e+00
  0.034886  -320.637224  -370.441492    0.000000  6.310769e-02  0.000000e+00
  0.035046  -320.650787  -370.583798    0.000000  6.351135e-02  0.000000e+00
  0.035206  -320.665639  -370.725960    0.000000  6.388774e-02  0.000000e+00
  0.035366  -320.681788  -370.867967    0.000000  6.423749e-02  0.000000e+00
  0.035526  -320.699238  -371.009809    0.000000  6.456123e-02  0.000000e+00
  0.035686  -320.717995  -371.151474    0.000000  6.485962e-02  0.000000e+00
  0.035846  -320.738063  -371.292953    0.000000  6.513328e-02  0.000000e+00
  0.036006  -320.759446  -371.434233    0.000000  6.538284e-02  0.000000e+00
  0.036166  -320.782147  -371.575305    0.000000  6.560893e-02  0.000000e+00
  0.036326  -320.806170  -371.716157    0.000000  6.581218e-02  0.000000e+00
  0.036486  -320.831516  -371.856778    0.000000  6.599321e-02  0.000000e+00
  0.036646  -320.858188  -371.997157    0.000000  6.615262e-02  0.000000e+00
  0.036806  -320.886187  -372.137283    0.000000  6.629102e-02  0.000000e+00
  0.036966  -320.915513  -372.277145    0.000000  6.640900e-02  0.000000e+00
  0.037126  -320.946167  -372.416732    0.000000  6.650715e-02  0.000000e+00
  0.037286  -320.978150  -372.556033    0.000000  6.658604e-02  0.000000e+00
  0.037446  -321.011460  -372.695037    0.000000  6.664623e-02  0.000000e+00
  0.037606  -321.046097  -372.833733    0.000000  6.668825e-02  0.000000e+00
  0.037766  -321.082059  -372.972111    0.000000  6.671265e-02  0.000000e+00
  0.037926  -321.119344  -373.110160    0.000000  6.671994e-02  0.000000e+00
  0.038086  -321.157952  -373.247869    0.000000  6.671061e-02  0.000000e+00
  0.038246  -321.197879  -373.385227    0.000000  6.668514e-02  0.000000e+00
  0.038406  -321.239122  -373.522225    0.000000  6.664394e-02  0.000000e+00
  0.038566  -321.281679  -373.658852    0.000000  6.658730e-02  0.000000e+00
  0.038726  -321.325545  -373.795098    0.000000  6.651552e-02  0.000000e+00
  0.038886  -321.370718  -373.930953    0.000000  6.642891e-02  0.000000e+00
  0.039046  -321.417193  -374.066407    0.000000  6.632779e-02  0.000000e+00
  0.039206  -321.464965  -374.201450    0.000000  6.621250e-02  0.000000e+00
  0.039366  -321.514031  -374.336073    0.000000  6.608342e-02  0.000000e+00
  0.039526  -321.564384  -374.470266    0.000000  6.594090e-02  0.000000e+00
  0.039686  -321.616021  -374.604020    0.000000  6.578534e-02  0.000000e+00
  0.039846  -321.668934  -374.737326    0.000000  6.561714e-02  0.000000e+00
  0.040006  -321.723119  -374.870173    0.000000  6.543671e-02  0.000000e+00
  0.040166  -321.778569  -375.002555    0.000000  6.524447e-02  0.000000e+00
  0.040326  -321.835277  -375.134460    0.000000  6.504086e-02  0.000000e+00
  0.040486  -321.893238  -375.265882    0.000000  6.482631e-02  0.000000e+00
  0.040647  -321.952444  -375.396811    0.000000  6.460128e-02  0.000000e+00
  0.040807  -322.012888  -375.527238    0.000000  6.436622e-02  0.000000e+00
  0.040967  -322.074562  -375.657155    0.000000  6.412158e-02  0.000000e+00
  0.041127  -322.137460  -375.786554    0.000000  6.386784e-02  0.000000e+00
  0.041287  -322.201572  -375.915426    0.000000  6.360545e-02  0.000000e+00
  0.041447  -322.266892  -376.043764    0.000000  6.333490e-02  0.000000e+00
  0.041607  -322.333410  -376.171560    0.000000  6.305665e-02  0.000000e+00
  0.041767  -322.401118  -376.298805    0.000000  6.277117e-02  0.000000e+00
  0.041927  -322.470007  -376.425492    0.000000  6.247893e-02  0.000000e+00
  0.042087  -322.540069  -376.551614    0.000000  6.218041e-02  0.000000e+00
  0.042247  -322.611294  -376.677162    0.000000  6.187607e-02  0.000000e+00
  0.042407  -322.683673  -376.802129    0.000000  6.156637e-02  0.000000e+00
  0.042567  -322.757196  -376.926509    0.000000  6.125179e-02  0.000000e+00
  0.042727  -322.831854  -377.050294    0.000000  6.093276e-02  0.000000e+00
  0.042887  -322.907636  -377.173476    0.000000  6.060975e-02  0.000000e+00
  0.043047  -322.984534  -377.296049    0.000000  6.028320e-02  0.000000e+00
  0.043207  -323.062536  -377.418006    0.000000  5.995355e-02  0.000000e+00
  0.043367  -323.141632  -377.539341    0.000000  5.962123e-02  0.000000e+00
  0.043527  -323.221812  -377.660046    0.000000  5.928667e-02  0.000000e+00
  0.043687  -323.303065  -377.780114    0.000000  5.895028e-02  0.000000e+00
  0.043847  -323.385381  -377.899541    0.000000  5.861248e-02  0.000000e+00
  0.044007  -323.468748  -378.018318    0.000000  5.827365e-02  0.000000e+00
  0.044167  -323.553156  -378.136441    0.000000  5.793420e-02  0.000000e+00
  0.044327  -323.638593  -378.253902    0.000000  5.759450e-02  0.000000e+00
  0.044487  -323.725048  -378.370697    0.000000  5.725493e-02  0.000000e+00
  0.044647  -323.812509  -378.486818    0.000000  5.691585e-02  0.000000e+00
  0.044807  -323.900967  -378.602259    0.000000  5.657762e-02  0.000000e+00
  0.044967  -323.990408  -378.717017    0.000000  5.624057e-02  0.000000e+00
  0.045127  -324.080821  -378.831084    0.000000  5.590503e-02  0.000000e+00
  0.045287  -324.172195  -378.944454    0.000000  5.557134e-02  0.000000e+00
  0.045447  -324.264518  -379.057124    0.000000  5.523980e-02  0.000000e+00
  0.045607  -324.357778  -379.169087    0.000000  5.491071e-02  0.000000e+00
  0.045767  -324.451963  -379.280338    0.000000  5.458437e-02  0.000000e+00
  0.045927  -324.547061  -379.390871    0.000000  5.426106e-02  0.000000e+00
  0.046087  -324.643060  -379.500683    0.000000  5.394104e-02  0.000000e+00
  0.046247  -324.739948  -379.609767    0.000000  5.362458e-02  0.000000e+00
  0.046407  -324.837714  -379.718119    0.000000  5.331192e-02  0.000000e+00
  0.046567  -324.936345  -379.825734    0.000000  5.300332e-02  0.000000e+00
  0.046727  -325.035828  -379.932608    0.000000  5.269899e-02  0.000000e+00
  0.046888  -325.136153  -380.038736    0.000000  5.239917e-02  0.000000e+00
  0.047048  -325.237306  -380.144112    0.000000  5.210405e-02  0.000000e+00
  0.047208  -325.339275  -380.248734    0.000000  5.181385e-02  0.000000e+00
  0.047368  -325.442050  -380.352597    0.000000  5.152875e-02  0.000000e+00
  0.047528  -325.545616  -380.455695    0.000000  5.124893e-02  0.000000e+00
  0.047688  -325.649962  -380.558026    0.000000  5.097458e-02  0.000000e+00
  0.047848  -325.755077  -380.659585    0.000000  5.070585e-02  0.000000e+00
  0.048008  -325.860948  -380.760367    0.000000  5.044290e-02  0.000000e+00
  0.048168  -325.967562  -380.860370    0.000000  5.018588e-02  0.000000e+00
  0.048328  -326.074909  -380.959590    0.000000  4.993492e-02  0.000000e+00
  0.048488  -326.182975  -381.058021    0.000000  4.969016e-02  0.000000e+00
  0.048648  -326.291750  -381.155662    0.000000  4.945171e-02  0.000000e+00
  0.048808  -326.401221  -381.252508    0.000000  4.921970e-02  0.000000e+00
  0.048968  -326.511376  -381.348556    0.000000  4.899422e-02  0.000000e+00
  0.049128  -326.622205  -381.443803    0.000000  4.877537e-02  0.000000e+00
  0.049288  -326.733694  -381.538244    0.000000  4.856325e-02  0.000000e+00
  0.049448  -326.845833  -381.631877    0.000000  4.835793e-02  0.000000e+00
  0.049608  -326.958610  -381.724699    0.000000  4.815948e-02  0.000000e+00
  0.049768  -327.072014  -381.816707    0.000000  4.796798e-02  0.000000e+00
  0.049928  -327.186034  -381.907897    0.000000  4.778348e-02  0.000000e+00
  0.050088  -327.300658  -381.998266    0.000000  4.760603e-02  0.000000e+00
  0.050248  -327.415875  -382.087813    0.000000  4.743568e-02  0.000000e+00
  0.050408  -327.531674  -382.176533    0.000000  4.727246e-02  0.000000e+00
  0.050568  -327.648046  -382.264424    0.000000  4.711640e-02  0.000000e+00
